GO,ec,kcat
GO:0004022,1.1.1.1,0.73
GO:0004022,1.1.1.1,1.28
GO:0004022,1.1.1.1,143.0
GO:0004022,1.1.1.1,1.58
GO:0004022,1.1.1.1,1.99
GO:0004022,1.1.1.1,251.3
GO:0004022,1.1.1.1,432.3
GO:0004022,1.1.1.1,786.1
GO:0004022,1.1.1.1,895.4
GO:0004022,1.1.1.1,18.65
GO:0004022,1.1.1.1,0.52
GO:0004022,1.1.1.1,1.1
GO:0004022,1.1.1.1,1.0
GO:0004022,1.1.1.1,1.5
GO:0004022,1.1.1.1,2.6
GO:0004022,1.1.1.1,1.6
GO:0004022,1.1.1.1,1.6
GO:0004022,1.1.1.1,2.0
GO:0004022,1.1.1.1,2.1
GO:0004022,1.1.1.1,0.21
GO:0004022,1.1.1.1,0.53
GO:0004022,1.1.1.1,3.1
GO:0004022,1.1.1.1,3.1
GO:0004022,1.1.1.1,1.7
GO:0004022,1.1.1.1,2.9
GO:0004022,1.1.1.1,21.0
GO:0004022,1.1.1.1,2.5
GO:0004022,1.1.1.1,2.5
GO:0004022,1.1.1.1,0.82
GO:0004022,1.1.1.1,16.3
GO:0004022,1.1.1.1,20.0
GO:0004022,1.1.1.1,4.8
GO:0004022,1.1.1.1,1.9
GO:0004022,1.1.1.1,13.1
GO:0004022,1.1.1.1,15.1
GO:0004022,1.1.1.1,16.8
GO:0004022,1.1.1.1,18.1
GO:0004022,1.1.1.1,0.38
GO:0004022,1.1.1.1,1.2
GO:0004022,1.1.1.1,29.0
GO:0004022,1.1.1.1,0.37
GO:0004022,1.1.1.1,12.4
GO:0004022,1.1.1.1,0.35
GO:0004022,1.1.1.1,6.7
GO:0004022,1.1.1.1,13.3
GO:0004022,1.1.1.1,0.36
GO:0004022,1.1.1.1,0.36
GO:0004022,1.1.1.1,0.42
GO:0004022,1.1.1.1,11.9
GO:0004022,1.1.1.1,18.9
GO:0004022,1.1.1.1,4.1
GO:0004022,1.1.1.1,34.8
GO:0004022,1.1.1.1,19.7
GO:0004022,1.1.1.1,15.7
GO:0004022,1.1.1.1,0.51
GO:0004022,1.1.1.1,43.9
GO:0004022,1.1.1.1,638.7
GO:0004022,1.1.1.1,404.8
GO:0004022,1.1.1.1,443.1
GO:0004022,1.1.1.1,1646.0
GO:0004022,1.1.1.1,38.5
GO:0004022,1.1.1.1,138.1
GO:0004022,1.1.1.1,283.1
GO:0004022,1.1.1.1,4808.0
GO:0004022,1.1.1.1,136.2
GO:0004022,1.1.1.1,260.7
GO:0004022,1.1.1.1,518.4
GO:0004022,1.1.1.1,8.0
GO:0004022,1.1.1.1,3.0
GO:0004022,1.1.1.1,5.5
GO:0004022,1.1.1.1,2.5
GO:0004022,1.1.1.1,24.9
GO:0004022,1.1.1.1,14.0
GO:0004022,1.1.1.1,1.9
GO:0004022,1.1.1.1,195.0
GO:0004022,1.1.1.1,6.3
GO:0004022,1.1.1.1,5.1
GO:0004022,1.1.1.1,365.0
GO:0004022,1.1.1.1,308.0
GO:0004022,1.1.1.1,305.0
GO:0004022,1.1.1.1,27.6
GO:0004022,1.1.1.1,34.2
GO:0004022,1.1.1.1,34.3
GO:0004022,1.1.1.1,931.0
GO:0004022,1.1.1.1,681.0
GO:0004022,1.1.1.1,326.0
GO:0004022,1.1.1.1,1.0
GO:0004022,1.1.1.1,3.8
GO:0004022,1.1.1.1,3.1
GO:0004022,1.1.1.1,10.0
GO:0004022,1.1.1.1,0.98
GO:0004022,1.1.1.1,6.2
GO:0004022,1.1.1.1,2.35
GO:0004022,1.1.1.1,3.7
GO:0004022,1.1.1.1,2.1
GO:0004022,1.1.1.1,22.0
GO:0004022,1.1.1.1,9.2
GO:0004022,1.1.1.1,13.5
GO:0004022,1.1.1.1,4.4
GO:0004022,1.1.1.1,7.1
GO:0004022,1.1.1.1,13.7
GO:0004022,1.1.1.1,7.0
GO:0004022,1.1.1.1,1.6
GO:0004022,1.1.1.1,3.2
GO:0004022,1.1.1.1,1.7
GO:0004022,1.1.1.1,0.65
GO:0004022,1.1.1.1,1.9
GO:0004022,1.1.1.1,9.6
GO:0004022,1.1.1.1,5.3
GO:0004022,1.1.1.1,26.0
GO:0004022,1.1.1.1,26.2
GO:0004022,1.1.1.1,6.2
GO:0004022,1.1.1.1,19.3
GO:0004022,1.1.1.1,16.6
GO:0004022,1.1.1.1,3000.0
GO:0004022,1.1.1.1,3500.0
GO:0004022,1.1.1.1,55.0
GO:0004022,1.1.1.1,33.0
GO:0004022,1.1.1.1,43.0
GO:0004022,1.1.1.1,43.0
GO:0004022,1.1.1.1,287.0
GO:0004022,1.1.1.1,3.17
GO:0004022,1.1.1.1,0.41
GO:0004022,1.1.1.1,0.41
GO:0004022,1.1.1.1,0.52
GO:0004022,1.1.1.1,0.26
GO:0004022,1.1.1.1,0.4
GO:0004022,1.1.1.1,0.4
GO:0004022,1.1.1.1,0.24
GO:0004022,1.1.1.1,0.73
GO:0004022,1.1.1.1,0.74
GO:0004022,1.1.1.1,0.77
GO:0004022,1.1.1.1,0.6
GO:0004022,1.1.1.1,0.6
GO:0004022,1.1.1.1,0.45
GO:0004022,1.1.1.1,1.27
GO:0004022,1.1.1.1,0.37
GO:0004022,1.1.1.1,1.02
GO:0004022,1.1.1.1,1.08
GO:0004022,1.1.1.1,0.071
GO:0004022,1.1.1.1,1.22
GO:0004022,1.1.1.1,0.48
GO:0004022,1.1.1.1,0.23
GO:0004022,1.1.1.1,0.07200000000000001
GO:0004022,1.1.1.1,142.0
GO:0004022,1.1.1.1,283.0
GO:0004022,1.1.1.1,4.5
GO:0004022,1.1.1.1,53.0
GO:0004022,1.1.1.1,33.0
GO:0004022,1.1.1.1,158.0
GO:0004022,1.1.1.1,3.8
GO:0004022,1.1.1.1,6.9
GO:0004022,1.1.1.1,350.0
GO:0004022,1.1.1.1,83.0
GO:0004022,1.1.1.1,30.0
GO:0004022,1.1.1.1,17.3
GO:0004022,1.1.1.1,15.6
GO:0004022,1.1.1.1,10.5
GO:0004022,1.1.1.1,10.4
GO:0004022,1.1.1.1,43.8
GO:0004022,1.1.1.1,13.7
GO:0004022,1.1.1.1,30.8
GO:0004022,1.1.1.1,35.7
GO:0004022,1.1.1.1,433.0
GO:0004022,1.1.1.1,360.0
GO:0004022,1.1.1.1,194.0
GO:0004022,1.1.1.1,101.0
GO:0004022,1.1.1.1,405.0
GO:0004022,1.1.1.1,93.3
GO:0004022,1.1.1.1,2.0
GO:0004022,1.1.1.1,153.0
GO:0004022,1.1.1.1,102.0
GO:0004022,1.1.1.1,4.5
GO:0004022,1.1.1.1,0.3
GO:0004022,1.1.1.1,5.4
GO:0004022,1.1.1.1,8.2
GO:0004022,1.1.1.1,0.4
GO:0004022,1.1.1.1,8.0
GO:0004022,1.1.1.1,1.3
GO:0004022,1.1.1.1,2.2
GO:0004022,1.1.1.1,2.8
GO:0004022,1.1.1.1,3.0
GO:0004022,1.1.1.1,1.03
GO:0004022,1.1.1.1,1.37
GO:0004022,1.1.1.1,1.9
GO:0004022,1.1.1.1,2.83
GO:0004022,1.1.1.1,7.5
GO:0004022,1.1.1.1,2.4
GO:0004022,1.1.1.1,8.5
GO:0004022,1.1.1.1,3.33
GO:0004022,1.1.1.1,0.35
GO:0004022,1.1.1.1,8.58
GO:0004022,1.1.1.1,2.03
GO:0004022,1.1.1.1,2.35
GO:0004022,1.1.1.1,2.43
GO:0004022,1.1.1.1,2.58
GO:0004022,1.1.1.1,2.63
GO:0004022,1.1.1.1,2.77
GO:0004022,1.1.1.1,3.03
GO:0004022,1.1.1.1,3.38
GO:0004022,1.1.1.1,4.08
GO:0004022,1.1.1.1,4.75
GO:0004022,1.1.1.1,7.18
GO:0004022,1.1.1.1,7.75
GO:0004022,1.1.1.1,9.58
GO:0004022,1.1.1.1,0.99
GO:0004022,1.1.1.1,1.0
GO:0004022,1.1.1.1,0.9
GO:0004022,1.1.1.1,2.0
GO:0004022,1.1.1.1,2.05
GO:0004022,1.1.1.1,0.24
GO:0004022,1.1.1.1,2.5
GO:0004022,1.1.1.1,1.17
GO:0004022,1.1.1.1,0.78
GO:0004022,1.1.1.1,0.87
