gene,uni_marker_gene,cv_values
b1094,b1094,0.0457948491968889
b2140,b2895,0.0416241094013324
b0042,b1187,0.0445630530279996
b1609,b2218,0.043644278176416
b3422,b2709,0.0421054902464237
b3169,b2291,0.0415422453147199
b0051,b0051,0.0444283774152654
b0238,b1813,0.0398464631008616
b3635,b0714,0.0431368142609513
b1618,b0846,0.0432663332594504
b4390,b3423,0.0440289930499956
b3906,b2382,0.0430429783973977
b4258,b0481,0.0417635152725545
b2575,b1844,0.0442041088807822
b3292,b2184,0.0372385995216239
b4052,b3813,0.0474048112167254
b1184,b1114,0.0404518550762541
b2186,b0051,0.0444283774152654
b1637,b2581,0.0417397010056137
b4532,b0051,0.0444283774152654
b1718,b1718,0.0486917813049896
b3980,b3339,0.036843390589445
b0604,b2893,0.0498968109422503
b2102,b2102,0.047615309085706
b3132,b2304,0.041427649794968
b3018,b3018,0.0434060729025132
b3283,b3019,0.0390292237180057
b3030,b3019,0.0390292237180057
b3168,b3339,0.036843390589445
b2822,b1860,0.0484505075015824
b0148,b2184,0.0372385995216239
b2834,b2834,0.0476328677038575
b3879,b2544,0.0499503437001575
b3056,b3056,0.0437830728057041
b0103,b0103,0.0495213438163093
b4042,b4042,0.0408863370251062
b3058,b3058,0.046072669495773
b3424,b2568,0.0394775273281152
b3064,b2821,0.0495457289441308
b4043,b3234,0.0364795471441631
b3229,b3592,0.04670510193979
b3029,b0662,0.0451169120967637
b0109,b0109,0.0492680932760629
b2949,b2268,0.0454596256296063
b3130,b2831,0.0484515260997364
b2268,b2268,0.0454596256296063
b4483,b4378,0.0484269724949863
b3719,b3825,0.0448138446627563
b2965,b2965,0.047123538272135
b1281,b4196,0.0417389389228088
b1427,b3550,0.0415174231238703
b4160,b4160,0.0465530686934502
b0494,b0494,0.0448916634745682
b1234,b3825,0.0448138446627563
b4055,b4388,0.0479221803346974
b3187,b3187,0.0483527697636018
b2743,b2743,0.0467318898046332
b3668,b3404,0.0477831745373624
b0386,b0386,0.0410592529662651
b1764,b1764,0.0467948312237862
b1308,b2668,0.0480726137507652
b2827,b2827,0.0489070100170775
b4190,b4190,0.0481417350341452
b0423,b3056,0.0437830728057041
b2400,b2400,0.0453624959268914
b0642,b0642,0.0451353208312414
b3804,b3804,0.0463312621332809
b3204,b3204,0.0447846498717143
b1951,b3529,0.0498224980151606
b2389,b0155,0.0415921756683941
b3849,b3849,0.0449157790255047
b1711,b3339,0.036843390589445
b3469,b2184,0.0372385995216239
b2498,b3339,0.036843390589445
b0182,b3192,0.0458915613308808
b3193,b3191,0.0451987779287547
b1114,b1114,0.0404518550762541
b2733,b4389,0.0408700475611585
b3003,b0493,0.0421418175575168
b0476,b0476,0.0485779878014748
b3439,b3439,0.0468743817835666
b0464,b0149,0.0434720658298682
b3287,b1128,0.0457238937849552
b3235,b3234,0.0364795471441631
b1183,b4190,0.0481417350341452
b1807,b2472,0.0420484542835586
b1266,b2291,0.0415422453147199
b1286,b1844,0.0442041088807822
b3721,b2901,0.0456400923145189
b2232,b2232,0.0473760615416884
b3929,b3929,0.0498990522541638
b3788,b3788,0.0491792200793261
b0449,b0449,0.0482406930448806
b2812,b2812,0.0383493352846142
b0084,b0149,0.0434720658298682
b0662,b0662,0.0451169120967637
b1734,b2901,0.0456400923145189
b0092,b0381,0.0481127918170893
b2068,b3549,0.0390310609633677
b4169,b2435,0.0472390385230131
b1430,b2232,0.0473760615416884
b2836,b2836,0.0430477076543461
b3198,b3198,0.0453333544454145
b0159,b0159,0.046152334686234
b3091,b3091,0.046153231126525
b2495,b2495,0.0368856875274702
b2440,b2440,0.0477562093537782
b2787,b2787,0.0463823505791236
b1054,b1054,0.0425441977859493
b0885,b0885,0.0453861367666677
b2560,b0418,0.0426014665306704
b4240,b3204,0.0447846498717143
b0635,b0149,0.0434720658298682
b2472,b2472,0.0420484542835586
b2868,b2895,0.0416241094013324
b1861,b1860,0.0484505075015824
b0110,b0867,0.0489339297855838
b2582,b3781,0.0414037651275052
b2989,b2195,0.0439110707567087
b0929,b0491,0.0465173903865079
b3040,b3915,0.0396498327551522
b2014,b0402,0.0419863443117003
b0069,b1294,0.0439629480812198
b0047,b2568,0.0394775273281152
b2076,b2076,0.0470678308504686
b3915,b3915,0.0396498327551522
b0151,b0151,0.0497924565010949
b0089,b1069,0.0448248590198982
b2132,b2901,0.0456400923145189
b3481,b0659,0.04986754687931
b0657,b0657,0.0490622271792006
b2866,b3492,0.0441962462169617
b2867,b0662,0.0451169120967637
b3160,b0662,0.0451169120967637
b0804,b1128,0.0457238937849552
b2764,b0662,0.0451169120967637
b0223,b0223,0.0410935025720609
b1678,b0885,0.0453861367666677
b3533,b3794,0.0472100856833249
b0766,b3374,0.0495696205347075
b3153,b1759,0.0454463258553721
b0446,b0446,0.0437475756188621
b3614,b0657,0.0490622271792006
b1813,b1813,0.0398464631008616
b3990,b4146,0.0400299831012149
b1812,b1812,0.0414892499477327
b0769,b3058,0.046072669495773
b4146,b4146,0.0400299831012149
b0581,b0444,0.0407629374202666
b4539,b0659,0.04986754687931
b4386,b4386,0.0423634117274538
b4394,b4394,0.0434456915144295
b3813,b3813,0.0474048112167254
b3397,b3034,0.0481769265676937
b2708,b3197,0.0474594739293193
b2700,b2700,0.0486879568308372
b2906,b2906,0.0472067622363325
b0884,b0051,0.0444283774152654
b0996,b2611,0.047592068745662
b2258,b0845,0.0463719422857422
b2935,b1813,0.0398464631008616
b1872,b0947,0.0479455851282942
b3572,b2965,0.047123538272135
b2553,b3147,0.0477628634950571
b3136,b3197,0.0474594739293193
b3708,b2812,0.0383493352846142
b0595,b1094,0.0457948491968889
