term_id	marker_gene	cv_values
GO:0000034	b3135	0.0574197779609317
GO:0000035	b1094	0.0457948491968889
GO:0000036	b1094	0.0457948491968889
GO:0000049	b3056	0.0437830728057041
GO:0000062	b1187	0.0445630530279996
GO:0000102	b4141	0.0509984978427125
GO:0000155	b2218	0.043644278176416
GO:0000156	b2709	0.0421054902464237
GO:0000166	b2291	0.0415422453147199
GO:0000175	b2011	0.0520148207977049
GO:0000179	b0051	0.0444283774152654
GO:0000287	b1813	0.0398464631008616
GO:0000703	b0714	0.0431368142609513
GO:0000976	b0846	0.0432663332594504
GO:0000986	b3423	0.0440289930499956
GO:0000987	b2382	0.0430429783973977
GO:0001000	b3229	0.0574606513265876
GO:0001071	b4124	0.0583500051884787
GO:0001073	b4260	0.055049816216988
GO:0001131	b0694	0.0512016490066909
GO:0001216	b3753	0.0590646217815372
GO:0002161	b0481	0.0417635152725545
GO:0002935	b2517	0.0559176459753155
GO:0003676	b1844	0.0442041088807822
GO:0003677	b2184	0.0372385995216239
GO:0003678	b3813	0.0474048112167254
GO:0003684	b1114	0.0404518550762541
GO:0003690	b0051	0.0444283774152654
GO:0003697	b2011	0.0520148207977049
GO:0003700	b3010	0.0401325644647335
GO:0003723	b2581	0.0417397010056137
GO:0003725	b3282	0.0558728907483916
GO:0003729	b0051	0.0444283774152654
GO:0003735	b3986	0.0512884348584993
GO:0003743	b1718	0.0486917813049896
GO:0003746	b3339	0.036843390589445
GO:0003755	b0525	0.0505929001695206
GO:0003756	b2893	0.0498968109422503
GO:0003796	b2102	0.047615309085706
GO:0003824	b2304	0.041427649794968
GO:0003841	b3018	0.0434060729025132
GO:0003872	b3916	0.0563555388803929
GO:0003882	b2585	0.0556820172776153
GO:0003886	b1961	0.0591071053453778
GO:0003887	b0231	0.0558032084952144
GO:0003899	b3202	0.0535936650521706
GO:0003906	b0714	0.0431368142609513
GO:0003911	b2411	0.0559681055655784
GO:0003916	b3019	0.0390292237180057
GO:0003918	b3019	0.0390292237180057
GO:0003919	b0025	0.0526761493704915
GO:0003924	b3339	0.036843390589445
GO:0003951	b3916	0.0563555388803929
GO:0003954	b1872	0.0509694473449832
GO:0003955	b3351	0.0522747364247561
GO:0003979	b3787	0.0598501581811827
GO:0003995	b0039	0.0596961680251992
GO:0004003	b1860	0.0484505075015824
GO:0004004	b2184	0.0372385995216239
GO:0004021	b2379	0.0534263686164533
GO:0004033	b2834	0.0476328677038575
GO:0004034	b2544	0.0499503437001575
GO:0004045	b0191	0.0598009656431605
GO:0004067	b1767	0.0597675407970833
GO:0004068	b0131	0.0573605014844687
GO:0004084	b1096	0.0575008266656303
GO:0004109	b2436	0.0513173237228126
GO:0004112	b3056	0.0437830728057041
