term_id,gene,marker_gene,cv_values
GO:0000018,b0393,b2831,0.0484515260997364
GO:0000028,b2608,b0051,0.0444283774152654
GO:0000034,b3135,b3135,0.0574197779609317
GO:0000035,b1094,b1094,0.0457948491968889
GO:0000036,b1094,b1094,0.0457948491968889
GO:0000049,b2140,b3056,0.0437830728057041
GO:0000062,b0042,b1187,0.0445630530279996
GO:0000102,b4141,b4141,0.0509984978427125
GO:0000103,b2582,b3781,0.0414037651275052
GO:0000155,b1609,b2218,0.043644278176416
GO:0000156,b3422,b2709,0.0421054902464237
GO:0000160,b3422,b2709,0.0421054902464237
GO:0000166,b3169,b2291,0.0415422453147199
GO:0000175,b1286,b2011,0.0520148207977049
GO:0000178,b1286,b4179,0.0572471045906221
GO:0000179,b0051,b0051,0.0444283774152654
GO:0000270,b0211,b0433,0.0529915679767197
GO:0000271,b0981,b0981,0.0528315783077885
GO:0000287,b0238,b1813,0.0398464631008616
GO:0000413,b0436,b0525,0.0505929001695206
GO:0000453,b2581,b2581,0.0417397010056137
GO:0000455,b3400,b0058,0.0552636101484126
GO:0000478,b0659,b0659,0.04986754687931
GO:0000703,b3635,b0714,0.0431368142609513
GO:0000716,b1114,b1114,0.0404518550762541
GO:0000724,b2616,b2820,0.059938111490557
GO:0000725,b4059,b4389,0.0408700475611585
GO:0000731,b0876,b0876,0.0543093878232381
GO:0000738,b4483,b2011,0.0520148207977049
GO:0000796,b0924,b0924,0.0462493858322762
GO:0000917,b0084,b0084,0.0450428686078539
GO:0000918,b3641,b3641,0.0562707984759153
GO:0000920,b1856,b2865,0.0434005400715418
GO:0000976,b1618,b0846,0.0432663332594504
GO:0000986,b4390,b3423,0.0440289930499956
GO:0000987,b3906,b2382,0.0430429783973977
GO:0001000,b3842,b3229,0.0574606513265876
GO:0001071,b4124,b4124,0.0583500051884787
GO:0001073,b3842,b4260,0.055049816216988
GO:0001131,b0694,b0694,0.0512016490066909
GO:0001216,b3753,b3753,0.0590646217815372
GO:0001514,b3590,b3590,0.0590904568593313
GO:0001522,b2745,b0058,0.0552636101484126
GO:0001680,b3056,b3056,0.0437830728057041
GO:0001896,b1856,b2865,0.0434005400715418
GO:0002098,b3706,b2324,0.0553922828908375
GO:0002100,b2559,b2559,0.053859645811908
GO:0002136,b0188,b0188,0.0454603342930874
GO:0002161,b4258,b0481,0.0417635152725545
GO:0002935,b2517,b2517,0.0559176459753155
GO:0002943,b2140,b4049,0.0500441835161603
GO:0002949,b3064,b4168,0.0515160623515504
GO:0003333,b3709,b0402,0.0419863443117003
GO:0003676,b2575,b1844,0.0442041088807822
GO:0003677,b3292,b2184,0.0372385995216239
GO:0003678,b4052,b3813,0.0474048112167254
GO:0003684,b1184,b1114,0.0404518550762541
GO:0003690,b2186,b0051,0.0444283774152654
GO:0003697,b1823,b2011,0.0520148207977049
GO:0003700,b3292,b3010,0.0401325644647335
GO:0003723,b1637,b2581,0.0417397010056137
GO:0003725,b3282,b3282,0.0558728907483916
GO:0003729,b4532,b0051,0.0444283774152654
