gene,uni_marker_gene,cv_values
b0393,b2831,0.0484515260997364
b2608,b0051,0.0444283774152654
b3135,b3135,0.0574197779609317
b1094,b1094,0.0457948491968889
b2140,b2895,0.0416241094013324
b0042,b1187,0.0445630530279996
b4141,b4141,0.0509984978427125
b2582,b3781,0.0414037651275052
b1609,b2218,0.043644278176416
b3422,b2709,0.0421054902464237
b3169,b2291,0.0415422453147199
b1286,b1844,0.0442041088807822
b0051,b0051,0.0444283774152654
b0211,b0433,0.0529915679767197
b0981,b3788,0.0491792200793261
b0238,b1813,0.0398464631008616
b0436,b0525,0.0505929001695206
b2581,b2581,0.0417397010056137
b3400,b4171,0.0549751286863373
b0659,b1128,0.0457238937849552
b3635,b0714,0.0431368142609513
b1114,b1114,0.0404518550762541
b2616,b2184,0.0372385995216239
b4059,b4389,0.0408700475611585
b0876,b0876,0.0543093878232381
b4483,b4378,0.0484269724949863
b0924,b0924,0.0462493858322762
b0084,b2184,0.0372385995216239
b3641,b3641,0.0562707984759153
b1856,b2865,0.0434005400715418
b1618,b0846,0.0432663332594504
b4390,b3423,0.0440289930499956
b3906,b2382,0.0430429783973977
b3842,b4260,0.055049816216988
b4124,b4124,0.0583500051884787
b0694,b0694,0.0512016490066909
b3753,b3753,0.0590646217815372
b3590,b3590,0.0590904568593313
b2745,b0058,0.0552636101484126
b3056,b3056,0.0437830728057041
b3706,b4161,0.055254051882788
b2559,b2559,0.053859645811908
b0188,b0188,0.0454603342930874
b4258,b0481,0.0417635152725545
b2517,b0051,0.0444283774152654
b3064,b3234,0.0364795471441631
b3709,b0402,0.0419863443117003
b2575,b1844,0.0442041088807822
b3292,b2184,0.0372385995216239
b4052,b2184,0.0372385995216239
b1184,b1114,0.0404518550762541
b2186,b0051,0.0444283774152654
b1823,b2011,0.0520148207977049
b1637,b2581,0.0417397010056137
b3282,b0481,0.0417635152725545
b4532,b0051,0.0444283774152654
b1480,b2184,0.0372385995216239
b1718,b1718,0.0486917813049896
b3980,b3339,0.036843390589445
b0441,b0525,0.0505929001695206
b0604,b2893,0.0498968109422503
b2102,b2435,0.0472390385230131
b3132,b2304,0.041427649794968
