term_id,gene,marker_gene,cv_values
GO:0000030,b2257,b2257,0.0690963947922021
GO:0000034,b3135,b3135,0.0574197779609317
GO:0000035,b1094,b1094,0.0457948491968889
GO:0000036,b1094,b1094,0.0457948491968889
GO:0000049,b2140,b3056,0.0437830728057041
GO:0000062,b0042,b1187,0.0445630530279996
GO:0000102,b4141,b4141,0.0509984978427125
GO:0000155,b1609,b2218,0.043644278176416
GO:0000156,b3422,b2709,0.0421054902464237
GO:0000166,b3169,b2291,0.0415422453147199
GO:0000175,b1286,b2011,0.0520148207977049
GO:0000179,b0051,b0051,0.0444283774152654
GO:0000210,b3996,b3996,0.0690250442309205
GO:0000287,b0238,b1813,0.0398464631008616
GO:0000703,b3635,b0714,0.0431368142609513
GO:0000774,b2614,b2614,0.0656149364211436
GO:0000906,b0415,b0415,0.0624443029257653
GO:0000908,b0368,b0368,0.069227604749836
GO:0000976,b1618,b0846,0.0432663332594504
GO:0000986,b4390,b3423,0.0440289930499956
GO:0000987,b3906,b2382,0.0430429783973977
GO:0001000,b3842,b3229,0.0574606513265876
GO:0001071,b4124,b4124,0.0583500051884787
GO:0001073,b3842,b4260,0.055049816216988
GO:0001131,b0694,b0694,0.0512016490066909
GO:0001141,b2217,b2697,0.0644846282002939
GO:0001216,b3753,b3753,0.0590646217815372
GO:0001406,b3451,b3451,0.0664106274546247
GO:0001530,b0178,b3200,0.0678441072926457
GO:0001948,b3064,b3064,0.0643802602870096
GO:0002161,b4258,b0481,0.0417635152725545
GO:0002196,b1787,b1787,0.0616910324002606
GO:0002935,b2517,b2517,0.0559176459753155
GO:0003676,b2575,b1844,0.0442041088807822
GO:0003677,b3292,b2184,0.0372385995216239
GO:0003678,b4052,b3813,0.0474048112167254
GO:0003684,b1184,b1114,0.0404518550762541
GO:0003690,b2186,b0051,0.0444283774152654
GO:0003697,b1823,b2011,0.0520148207977049
GO:0003700,b3292,b3010,0.0401325644647335
GO:0003723,b1637,b2581,0.0417397010056137
GO:0003725,b3282,b3282,0.0558728907483916
GO:0003727,b2186,b3400,0.0651573114474618
GO:0003729,b4532,b0051,0.0444283774152654
GO:0003735,b1480,b3986,0.0512884348584993
GO:0003743,b1718,b1718,0.0486917813049896
GO:0003746,b3980,b3339,0.036843390589445
