term_id	marker_gene	cv_values
GO:0000012	b1184	0.0796576132800087
GO:0000014	b2761	0.0861164346857199
GO:0000015	b2779	0.0701961284060215
GO:0000018	b2831	0.0484515260997364
GO:0000025	b3416	0.0782798099793601
GO:0000027	b3308	0.0649665340461132
GO:0000028	b0051	0.0444283774152654
GO:0000030	b2257	0.0690963947922021
GO:0000034	b3135	0.0574197779609317
GO:0000035	b1094	0.0457948491968889
GO:0000036	b1094	0.0457948491968889
GO:0000049	b3056	0.0437830728057041
GO:0000062	b1187	0.0445630530279996
GO:0000096	b2810	0.0832844310388814
GO:0000099	b3943	0.0756244110453069
GO:0000100	b0260	0.105316886962886
GO:0000101	b3943	0.0756244110453069
GO:0000102	b4141	0.0509984978427125
GO:0000103	b3781	0.0414037651275052
GO:0000104	b0724	0.107504336974753
GO:0000105	b0529	0.0743617801904577
GO:0000107	b2023	0.106010286252174
GO:0000150	b2699	0.0904916992564461
GO:0000155	b2218	0.043644278176416
GO:0000156	b2709	0.0421054902464237
GO:0000160	b2709	0.0421054902464237
GO:0000162	b3360	0.0626291790668163
GO:0000166	b2291	0.0415422453147199
GO:0000175	b2011	0.0520148207977049
GO:0000178	b4179	0.0572471045906221
GO:0000179	b0051	0.0444283774152654
GO:0000210	b3996	0.0690250442309205
GO:0000256	b0505	0.0666021153444392
GO:0000270	b0433	0.0529915679767197
GO:0000271	b0981	0.0528315783077885
GO:0000272	b3338	0.0717883961258133
GO:0000287	b1813	0.0398464631008616
GO:0000302	b0606	0.0638136030935197
GO:0000309	b0639	0.0834230426350714
GO:0000310	b0238	0.0818762381120112
GO:0000372	b3342	0.0744383627457003
GO:0000400	b2699	0.0904916992564461
GO:0000408	b3064	0.0643802602870096
GO:0000413	b0525	0.0505929001695206
GO:0000428	b3987	0.0631970992901449
GO:0000453	b2581	0.0417397010056137
GO:0000455	b0058	0.0552636101484126
GO:0000462	b3297	0.0772525931558195
GO:0000470	b3984	0.0894161770647222
GO:0000478	b0659	0.04986754687931
GO:0000703	b0714	0.0431368142609513
GO:0000716	b1114	0.0404518550762541
GO:0000724	b2820	0.059938111490557
GO:0000725	b4389	0.0408700475611585
GO:0000726	b2159	0.0887269640509151
GO:0000730	b2699	0.0904916992564461
GO:0000731	b0876	0.0543093878232381
GO:0000737	b2761	0.0861164346857199
GO:0000738	b2011	0.0520148207977049
GO:0000746	b0957	0.0672207029688382
GO:0000774	b2614	0.0656149364211436
GO:0000796	b0924	0.0462493858322762
GO:0000810	b1278	0.0924107823457319
GO:0000820	b3053	0.0709736740317046
GO:0000900	b3296	0.0758554413978137
GO:0000902	b3251	0.0653984609458886
GO:0000906	b0415	0.0624443029257653
GO:0000908	b0368	0.069227604749836
GO:0000917	b0084	0.0450428686078539
GO:0000918	b3641	0.0562707984759153
GO:0000920	b2865	0.0434005400715418
GO:0000921	b2910	0.0646108859580528
GO:0000967	b2949	0.0620364982472836
GO:0000976	b0846	0.0432663332594504
GO:0000984	b1399	0.0791449344491422
GO:0000986	b3423	0.0440289930499956
GO:0000987	b2382	0.0430429783973977
GO:0000990	b3461	0.077955306566524
GO:0001000	b3229	0.0574606513265876
GO:0001046	b1735	0.0704173835067855
GO:0001071	b4124	0.0583500051884787
GO:0001072	b1823	0.0924426573083959
GO:0001073	b4260	0.055049816216988
GO:0001101	b3190	0.0979637318131318
GO:0001108	b3181	0.0922331902297017
GO:0001121	b3461	0.077955306566524
GO:0001123	b3067	0.0664426365391469
GO:0001124	b3842	0.0643245767809192
GO:0001131	b0694	0.0512016490066909
GO:0001140	b2217	0.0733733994266948
GO:0001141	b2697	0.0644846282002939
GO:0001204	b0487	0.0919838927011505
GO:0001216	b3753	0.0590646217815372
GO:0001406	b3451	0.0664106274546247
GO:0001407	b3451	0.0664106274546247
GO:0001514	b3590	0.0590904568593313
GO:0001522	b0058	0.0552636101484126
GO:0001530	b3200	0.0678441072926457
GO:0001558	b3129	0.0636279855764715
GO:0001680	b3056	0.0437830728057041
GO:0001682	b3704	0.0957787887810404
GO:0001761	b4208	0.0718496212815927
GO:0001762	b4208	0.0718496212815927
GO:0001883	b1045	0.0769908791139191
GO:0001884	b2143	0.103647204066719
GO:0001896	b2865	0.0434005400715418
GO:0001948	b3064	0.0643802602870096
GO:0002084	b2473	0.0684047231860918
GO:0002094	b0174	0.0831783259404395
GO:0002097	b0144	0.0694858303036793
GO:0002098	b2324	0.0553922828908375
GO:0002099	b0405	0.066796778323728
GO:0002100	b2559	0.053859645811908
GO:0002101	b2474	0.071925690616658
GO:0002128	b4403	0.0616383005407688
GO:0002131	b3606	0.0698616570227788
GO:0002132	b3606	0.0698616570227788
GO:0002136	b0188	0.0454603342930874
GO:0002143	b0969	0.0646282702150036
GO:0002161	b0481	0.0417635152725545
GO:0002181	b3305	0.0932277438884119
GO:0002184	b0172	0.0646785576783041
GO:0002196	b1787	0.0616910324002606
GO:0002935	b2517	0.0559176459753155
GO:0002937	b0423	0.0979524796911757
GO:0002938	b3651	0.0618378035727254
GO:0002939	b2607	0.0752029063721457
GO:0002943	b4049	0.0500441835161603
GO:0002949	b4168	0.0515160623515504
GO:0003333	b0402	0.0419863443117003
GO:0003676	b1844	0.0442041088807822
GO:0003677	b2184	0.0372385995216239
GO:0003678	b3813	0.0474048112167254
GO:0003681	b1237	0.0766418463037611
GO:0003684	b1114	0.0404518550762541
GO:0003688	b0687	0.0742270788421557
GO:0003690	b0051	0.0444283774152654
GO:0003697	b2011	0.0520148207977049
GO:0003700	b3010	0.0401325644647335
GO:0003723	b2581	0.0417397010056137
GO:0003724	b3162	0.078589113655208
GO:0003725	b3282	0.0558728907483916
GO:0003727	b3400	0.0651573114474618
GO:0003729	b0051	0.0444283774152654
GO:0003730	b1276	0.0779345928145827
GO:0003735	b3986	0.0512884348584993
GO:0003743	b1718	0.0486917813049896
GO:0003746	b3339	0.036843390589445
GO:0003755	b0525	0.0505929001695206
GO:0003756	b2893	0.0498968109422503
GO:0003796	b2102	0.047615309085706
GO:0003824	b2304	0.041427649794968
GO:0003826	b0628	0.0643991087501563
GO:0003839	b1218	0.0708787817840691
GO:0003840	b3447	0.0641614896544524
GO:0003841	b3018	0.0434060729025132
GO:0003842	b1014	0.0823369324721824
GO:0003844	b3432	0.0642854760455863
GO:0003848	b0142	0.0777305124453426
GO:0003849	b1704	0.0701188410469777
GO:0003850	b1727	0.0617384186047701
GO:0003855	b1693	0.0757108545879959
GO:0003856	b3389	0.0683276237685896
GO:0003857	b1395	0.07151601650458
GO:0003862	b1800	0.0804778271017691
GO:0003867	b1302	0.0867130707336527
GO:0003872	b3916	0.0563555388803929
GO:0003882	b2585	0.0556820172776153
GO:0003883	b2780	0.0722439676226581
GO:0003886	b1961	0.0591071053453778
GO:0003887	b0231	0.0558032084952144
GO:0003896	b3066	0.060373578075754
GO:0003899	b3202	0.0535936650521706
GO:0003904	b0708	0.0694443797542686
GO:0003905	b2068	0.0781671982648375
GO:0003906	b0714	0.0431368142609513
GO:0003908	b1335	0.0989439396755288
GO:0003909	b3421	0.063960504149511
GO:0003911	b2411	0.0559681055655784
GO:0003916	b3019	0.0390292237180057
GO:0003917	b1763	0.0600935010443232
GO:0003918	b3019	0.0390292237180057
GO:0003919	b0025	0.0526761493704915
GO:0003920	b0104	0.0757779851032971
GO:0003921	b2507	0.109344035213057
GO:0003922	b2507	0.109344035213057
GO:0003924	b3339	0.036843390589445
GO:0003935	b1277	0.0612812802702964
GO:0003938	b2508	0.101790993863808
GO:0003941	b1814	0.0752156179556188
GO:0003942	b2319	0.0966850632257938
GO:0003949	b2024	0.0745729697960175
GO:0003951	b3916	0.0563555388803929
GO:0003952	b1740	0.0672544261514399
GO:0003954	b1872	0.0509694473449832
GO:0003955	b3351	0.0522747364247561
GO:0003957	b3962	0.0880923586414837
GO:0003958	b3742	0.074638994161154
GO:0003959	b1650	0.0823184560257672
GO:0003960	b4051	0.0950095507472325
GO:0003962	b3939	0.077740815374285
GO:0003963	b4475	0.106041116810122
GO:0003977	b3730	0.109258264989023
GO:0003979	b3787	0.0598501581811827
GO:0003983	b1236	0.0953037704993208
GO:0003984	b3671	0.0869193325134417
GO:0003985	b2844	0.0721890248855768
GO:0003988	b2342	0.0718575283559174
GO:0003989	b0185	0.0612208742024911
GO:0003993	b0980	0.0823233616125626
GO:0003994	b1276	0.0779345928145827
GO:0003995	b0039	0.0596961680251992
GO:0003998	b0968	0.0631041809159316
GO:0003999	b0469	0.100016784490165
GO:0004000	b1623	0.0797275604534479
GO:0004003	b1860	0.0484505075015824
GO:0004004	b2184	0.0372385995216239
GO:0004014	b0120	0.108382038007748
GO:0004015	b0774	0.0831911320514612
GO:0004017	b0474	0.096250713288739
GO:0004019	b4177	0.0727531281523135
GO:0004021	b2379	0.0534263686164533
GO:0004022	b2453	0.0750534029315825
GO:0004024	b0356	0.0890293154816849
GO:0004029	b1525	0.0644795397652564
GO:0004030	b1300	0.0696698833474315
GO:0004033	b2834	0.0476328677038575
GO:0004034	b2544	0.0499503437001575
GO:0004035	b0383	0.0693232201031893
GO:0004040	b1326	0.0721945989706726
GO:0004045	b0191	0.0598009656431605
GO:0004047	b2905	0.0937163519659941
GO:0004049	b3360	0.0626291790668163
GO:0004060	b1463	0.0639818029499658
GO:0004065	b3801	0.080063766233402
GO:0004066	b0674	0.0881391761575269
GO:0004067	b1767	0.0597675407970833
GO:0004068	b0131	0.0573605014844687
GO:0004071	b3744	0.0691073092228326
GO:0004072	b0695	0.0631750131828822
GO:0004073	b2319	0.0966850632257938
GO:0004075	b3256	0.109778851753389
GO:0004077	b3973	0.08122355404348
GO:0004084	b1096	0.0575008266656303
GO:0004089	b0126	0.104409004380458
GO:0004096	b3942	0.0678218188341712
GO:0004107	b2329	0.101209413698764
GO:0004109	b2436	0.0513173237228126
GO:0004112	b3056	0.0437830728057041
GO:0004113	b0147	0.0587483318649306
GO:0004115	b3032	0.0526611641216135
GO:0004123	b3939	0.077740815374285
GO:0004125	b3591	0.0650000228561608
GO:0004126	b2143	0.103647204066719
GO:0004127	b0910	0.0976712188975798
GO:0004129	b0432	0.101339608504286
GO:0004130	b3518	0.0864239525816988
GO:0004133	b3431	0.0636146487653584
GO:0004134	b3416	0.0782798099793601
GO:0004135	b3431	0.0636146487653584
GO:0004139	b4381	0.0842117539224618
GO:0004140	b0103	0.0495213438163093
GO:0004141	b1593	0.0847817996100322
GO:0004143	b4042	0.0408863370251062
GO:0004145	b1584	0.0813922948612173
GO:0004146	b0048	0.0593412926317899
GO:0004148	b0116	0.0743895010409961
GO:0004149	b0727	0.0976761687533917
GO:0004150	b3058	0.046072669495773
GO:0004152	b1628	0.0700610501559448
GO:0004155	b0578	0.0673245935911785
GO:0004156	b3177	0.0810105352354564
GO:0004159	b2147	0.088747031645449
GO:0004160	b3771	0.0687947659934093
GO:0004161	b0421	0.0907105659031313
GO:0004170	b2251	0.0868641824407193
GO:0004174	b0043	0.074657987454612
GO:0004175	b2568	0.0394775273281152
GO:0004176	b0438	0.0537595510052317
GO:0004177	b0932	0.0533127410197733
GO:0004180	b1192	0.0540460361102648
GO:0004185	b3396	0.0531864103886777
GO:0004190	b2717	0.0623882012987066
GO:0004222	b2821	0.0495457289441308
GO:0004252	b3234	0.0364795471441631
GO:0004300	b1393	0.0658361615174434
GO:0004309	b2744	0.0860059554495961
GO:0004314	b1092	0.0809194460863802
GO:0004315	b2323	0.0716301986489042
GO:0004316	b1093	0.109211669704304
GO:0004318	b1288	0.0576428855026147
GO:0004324	b3924	0.0939654110313945
GO:0004325	b0475	0.0506532111823675
GO:0004326	b2315	0.0642229630016429
GO:0004332	b2925	0.0827899416569086
GO:0004333	b1612	0.0966018355223048
GO:0004335	b0757	0.0708309243376168
GO:0004337	b0421	0.0907105659031313
GO:0004340	b2388	0.0589999809096597
GO:0004342	b0678	0.069218784427919
GO:0004345	b1852	0.0773391684553705
GO:0004346	b1727	0.0617384186047701
GO:0004347	b4025	0.0742216384959117
GO:0004349	b0242	0.0881322464381732
GO:0004350	b0243	0.0769231126566079
GO:0004356	b1297	0.0936506919363565
GO:0004357	b2688	0.0725502221843138
GO:0004359	b1524	0.0511678383395453
GO:0004362	b3500	0.0755913554697476
GO:0004363	b2947	0.0654052893248872
GO:0004364	b3592	0.04670510193979
GO:0004365	b1779	0.0512525945540246
GO:0004366	b4041	0.0503742651826908
GO:0004367	b3608	0.0526302904257604
GO:0004371	b1199	0.0734351256835555
GO:0004373	b3429	0.0774998133243444
GO:0004375	b2903	0.0935952321524218
GO:0004385	b3648	0.0599464538761571
GO:0004386	b4052	0.0582449563631376
GO:0004396	b0394	0.050777593230113
GO:0004412	b3940	0.0655115758084897
GO:0004416	b0927	0.0592860257594649
GO:0004418	b3805	0.0619057263103168
GO:0004422	b0125	0.0513144216056952
GO:0004427	b4226	0.0733447976014739
GO:0004452	b2889	0.0965461701387071
GO:0004459	b0308	0.0860807773249006
GO:0004462	b1651	0.061732998075235
GO:0004471	b1479	0.106877095871606
GO:0004474	b2976	0.098955899092139
GO:0004475	b2049	0.0734887879011355
GO:0004476	b1613	0.0778408856555261
GO:0004477	b0529	0.0743617801904577
GO:0004479	b3288	0.0756536268010551
GO:0004488	b0529	0.0743617801904577
GO:0004492	b2919	0.0685208385902318
GO:0004494	b2917	0.0744578956899017
GO:0004497	b0662	0.0451169120967637
GO:0004514	b0109	0.0492680932760629
GO:0004515	b0639	0.0834230426350714
GO:0004516	b0931	0.0734948245299295
GO:0004518	b2268	0.0454596256296063
GO:0004519	b2831	0.0484515260997364
GO:0004520	b1340	0.0866570611386057
GO:0004521	b1084	0.0678481622462544
GO:0004523	b0214	0.0553022703112503
GO:0004525	b2567	0.0648591975070537
GO:0004526	b3704	0.0957787887810404
GO:0004527	b0215	0.0609263190803704
GO:0004530	b2945	0.0751203113798311
GO:0004532	b2268	0.0454596256296063
GO:0004534	b1266	0.0729029075403172
GO:0004536	b4378	0.0484269724949863
GO:0004540	b1804	0.0493048216262868
GO:0004553	b3147	0.0477628634950571
GO:0004555	b3519	0.076136011096877
GO:0004556	b1927	0.0864932679549605
GO:0004558	b0403	0.0514501807498195
GO:0004559	b0732	0.0670574911017588
GO:0004563	b1107	0.0991505060258987
GO:0004566	b1617	0.0635933543694359
GO:0004586	b2965	0.047123538272135
GO:0004588	b3642	0.0612137902868993
GO:0004590	b4196	0.0417389389228088
GO:0004591	b0726	0.108546022079318
GO:0004592	b0133	0.0680236568815499
GO:0004594	b3974	0.0781916899468836
GO:0004595	b3634	0.059270493242455
GO:0004596	b3550	0.0415174231238703
GO:0004601	b2301	0.0550499508448098
GO:0004602	b1710	0.0598804849146265
GO:0004605	b0175	0.089559235281746
GO:0004609	b4160	0.0465530686934502
GO:0004614	b0688	0.0578762584813744
GO:0004616	b3882	0.0625157019540757
GO:0004618	b2926	0.0716028113693371
GO:0004619	b4395	0.0628375258545525
GO:0004620	b0494	0.0448916634745682
GO:0004622	b3825	0.0448138446627563
GO:0004623	b3821	0.0586480618732268
GO:0004630	b0789	0.0687075176958258
GO:0004632	b3639	0.0684627739353347
GO:0004633	b3639	0.0684627739353347
GO:0004634	b2779	0.0701961284060215
GO:0004637	b4005	0.103184491957339
GO:0004645	b4382	0.0868180880825514
GO:0004647	b4388	0.0479221803346974
GO:0004652	b0143	0.0585258077500713
GO:0004654	b3164	0.0570565612012784
GO:0004655	b0369	0.0618930361818283
GO:0004657	b1014	0.0823369324721824
GO:0004659	b3187	0.0483527697636018
GO:0004672	b3835	0.0806447231389968
GO:0004673	b4112	0.0531339274393774
GO:0004674	b3859	0.0602784844113454
GO:0004713	b0981	0.0528315783077885
