,sd_values,mean_values,CV_values,Gene_Name,LeftEnd,Protein,Function,Description
b0001,1.789767027,8.948522311,0.200006992,thrL,190,thr operon leader peptide,Leader; Amino acid biosynthesis: Threonine,Regulatory leader peptide for thrABC operon
b0002,0.9735436129999999,10.62761884,0.091605055,thrA,337,Bifunctional aspartokinase/homoserine dehydrogenase 1,Enzyme; Amino acid biosynthesis: Threonine,Bifunctional aspartokinase/homoserine dehydrogenase 1; threonine-sensitive
b0003,0.9331864,10.04560117,0.092895028,thrB,2801,homoserine kinase,Enzyme; Amino acid biosynthesis: Threonine,Homoserine kinase
b0004,0.855382373,10.30346881,0.08301887299999999,thrC,3734,L-threonine synthase,Enzyme; Amino acid biosynthesis: Threonine,Threonine synthase
b0005,0.829349716,8.950972237,0.092654708,yaaX,5234,DUF2502 family putative periplasmic protein,Null,DUF2502 family putative periplasmic protein; function unknown
b0006,0.491844085,9.363902265,0.052525547,yaaA,5683,"peroxide resistance protein, lowers intracellular iron",Null,"Peroxide resistance protein, lowers intracellular iron"
b0007,0.601003753,8.453330434,0.071096683,yaaJ,6529,putative transporter,"Putative transport; Transport of small molecules: Amino acids, amines","Putative transporter, sodium:alanine (SAF) symporter family; function unknown"
b0008,0.8360334220000001,11.5970008,0.072090486,talB,8238,transaldolase B,"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway",Transaldolase B
b0009,0.630773934,9.783966397,0.064470166,mog,9306,molybdochelatase incorporating molybdenum into molybdopterin,"Transport; Biosynthesis of cofactors, carriers: Molybdopterin",Molybdochelatase incorporating molybdenum into molybdopterin; chlorate resistance
b0010,0.48600077700000005,9.030355402,0.053818566,satP,9928,succinate-acetate transporter,Null,Succinate-acetate transporter
b0011,0.55824488,8.780811242,0.063575547,yaaW,10643,UPF0174 family protein,Putative enzyme; Not classified,UPF0174 family protein; mutation increases biofilm formation
b0013,0.548690577,8.16320047,0.06721513,yaaI,11382,UPF0412 family protein,Null,"UPF0412 family predicted periplasmic protein, function unknown"
